,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
447,448,Ignacio Pussetto,ar ARG,"FW,MF",Udinese,25,1995,13.4,292,264,25,3,0,2,21,6,0,0,0,0,195,3,13,Matches
448,449,Niklas Pyyhtiä,fi FIN,MF,Bologna,17,2003,0.2,24,23,1,1,1,0,0,0,0,0,0,0,20,0,0,Matches
449,450,Fabio Quagliarella,it ITA,FW,Sampdoria,38,1983,18.5,466,426,36,0,3,16,21,1,0,0,0,0,320,4,15,Matches
450,451,Adrien Rabiot,fr FRA,MF,Juventus,26,1995,25.4,1053,1025,27,18,0,3,25,9,0,0,0,0,862,1,23,Matches
451,452,Ivan Radovanović,rs SRB,"DF,MF",Salernitana,32,1988,11.7,520,492,28,26,0,4,4,0,0,0,0,0,428,0,7,Matches
452,453,Ionuț Radu,ro ROU,GK,Inter,24,1997,1.0,23,19,4,0,0,1,0,0,0,0,0,0,19,0,0,Matches
453,454,Ștefan Radu,ro ROU,DF,Lazio,34,1986,6.2,330,291,39,3,0,0,7,35,0,0,0,0,268,0,4,Matches
454,455,Boris Radunović,rs SRB,GK,Cagliari,25,1996,3.0,100,64,36,8,0,0,0,0,0,0,0,0,55,0,0,Matches
455,456,Antonio Raimondo,it ITA,FW,Bologna,17,2004,0.8,10,9,1,0,0,0,0,0,0,0,0,0,6,0,1,Matches
456,457,Aaron Ramsey,wls WAL,MF,Juventus,30,1990,1.1,66,64,2,2,0,0,0,0,0,0,0,0,59,0,0,Matches
457,458,Luca Ranieri,it ITA,DF,Salernitana,22,1999,23.4,993,789,199,27,0,1,66,171,1,0,1,0,698,5,32,Matches
458,459,Andrea Ranocchia,it ITA,DF,Inter,33,1988,3.8,198,188,10,9,0,1,0,0,0,0,0,0,182,0,0,Matches
459,460,Giacomo Raspadori,it ITA,"MF,FW",Sassuolo,21,2000,30.4,1045,958,81,19,10,15,63,5,38,17,14,0,814,6,30,Matches
460,461,Nicola Ravaglia,it ITA,GK,Sampdoria,32,1988,0.1,4,2,2,0,0,0,0,0,0,0,0,0,2,0,0,Matches
461,462,Ante Rebić,hr CRO,FW,Milan,27,1993,9.9,299,291,6,0,1,4,28,4,0,0,0,0,182,2,12,Matches
462,463,Arkadiusz Reca,pl POL,DF,Spezia,26,1995,19.7,879,688,185,7,0,3,37,178,0,0,0,0,622,6,28,Matches
463,464,Pepe Reina,es ESP,GK,Lazio,38,1982,15.0,528,398,130,30,0,1,0,1,0,0,0,0,433,0,0,Matches
464,465,Panagiotis Retsos,gr GRE,DF,Hellas Verona,22,1998,0.6,22,19,3,1,0,0,1,2,0,0,0,0,14,0,0,Matches
465,466,Bryan Reynolds,us USA,DF,Roma,20,2001,0.0,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0,Matches
466,467,Franck Ribéry,fr FRA,"MF,FW",Salernitana,38,1983,15.8,657,588,67,20,0,8,43,10,22,10,7,1,510,2,22,Matches
467,468,Samuele Ricci,it ITA,MF,Torino,19,2001,8.0,395,374,21,17,1,0,0,1,0,0,0,0,367,0,5,Matches
468,469,Samuele Ricci,it ITA,MF,Empoli,19,2001,17.0,932,888,42,40,1,7,6,2,0,0,0,0,832,2,10,Matches
469,470,Tomás Rincón,ve VEN,MF,Torino,33,1988,1.8,89,84,4,3,0,3,1,1,0,0,0,0,73,1,0,Matches
470,471,Tomás Rincón,ve VEN,MF,Sampdoria,33,1988,13.0,576,563,11,9,4,5,5,1,0,0,0,0,480,2,10,Matches
471,472,Ricardo Rodríguez,ch SUI,DF,Torino,28,1992,27.5,1469,1374,86,31,1,22,65,8,46,28,17,0,1247,9,22,Matches
472,473,Marko Rog,hr CRO,MF,Cagliari,26,1995,3.5,152,141,11,8,0,1,3,2,1,1,0,0,122,0,3,Matches
473,474,Rogério,br BRA,DF,Sassuolo,23,1998,19.2,1131,967,161,24,0,11,82,117,20,0,19,0,921,3,20,Matches
474,475,Alessio Romagnoli,it ITA,DF,Milan,26,1995,15.7,999,947,51,34,1,1,1,2,0,0,0,0,893,1,5,Matches
475,476,Simone Romagnoli,it ITA,DF,Empoli,31,1990,16.6,796,726,63,47,0,2,1,1,0,0,0,0,612,7,6,Matches
476,477,Luka Romero,ar ARG,FW,Lazio,16,2004,0.9,37,33,4,1,0,0,1,1,2,0,0,0,35,0,0,Matches
477,478,Sergio Romero,ar ARG,GK,Venezia,34,1987,16.0,586,397,188,46,0,0,0,0,0,0,0,0,415,1,0,Matches
478,479,Cristiano Ronaldo,pt POR,FW,Juventus,36,1985,0.3,13,13,0,0,0,0,0,0,0,0,0,0,8,0,2,Matches
479,480,Marten de Roon,nl NED,"MF,DF",Atalanta,30,1991,28.3,1690,1615,72,50,0,32,7,22,0,0,0,0,1434,3,21,Matches
480,481,Francesco Rossi,it ITA,GK,Atalanta,30,1991,0.4,16,11,5,1,0,0,0,0,0,0,0,0,12,0,0,Matches
481,482,Nicolò Rovella,it ITA,MF,Genoa,19,2001,16.3,977,822,152,75,3,11,110,9,68,26,32,0,762,3,11,Matches
482,483,Amir Rrahmani,xk KVX,DF,Napoli,27,1994,32.5,2015,1906,107,61,0,15,0,5,0,0,0,0,1835,2,4,Matches
483,484,Ruan,br BRA,DF,Sassuolo,22,1999,2.4,110,91,19,3,0,0,1,16,0,0,0,0,84,0,2,Matches
484,485,Daniele Rugani,it ITA,DF,Juventus,27,1994,9.8,547,528,18,12,0,4,0,1,0,0,0,0,497,1,4,Matches
485,486,Matteo Ruggeri,it ITA,DF,Salernitana,19,2002,7.5,302,251,49,3,0,4,29,46,0,0,0,0,198,2,6,Matches
486,487,Mário Rui,pt POR,DF,Napoli,30,1991,33.2,2461,2104,346,80,1,34,80,248,18,7,6,0,2073,11,35,Matches
487,488,Fabián Ruiz Peña,es ESP,MF,Napoli,25,1996,26.5,2196,2143,48,47,2,37,17,1,0,0,0,0,1969,5,26,Matches
488,489,Alessandro Russo,it ITA,MF,Salernitana,17,2003,0.3,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
489,490,Stefano Sabelli,it ITA,DF,Genoa,28,1993,3.9,153,123,30,1,0,0,9,29,0,0,0,0,96,0,10,Matches
490,491,Abdelhamid Sabiri,ma MAR,"MF,FW",Sampdoria,24,1996,9.9,346,313,29,15,0,4,15,5,6,4,0,0,259,4,13,Matches
491,492,Alexis Saelemaekers,be BEL,FW,Milan,22,1999,20.7,869,840,28,6,2,1,63,11,10,0,2,0,681,1,26,Matches
492,493,Jacopo Sala,it ITA,MF,Spezia,29,1991,9.8,473,450,21,20,0,2,6,1,0,0,0,0,407,2,8,Matches
493,494,Eddie Salcedo,it ITA,"MF,FW",Spezia,19,2001,4.8,148,139,8,1,0,0,13,1,5,2,3,0,100,1,2,Matches
494,495,Lazar Samardzic,de GER,"MF,FW",Udinese,19,2002,5.4,258,214,43,16,4,6,32,5,21,11,5,0,200,1,2,Matches
495,496,Luigi Samele,it ITA,FW,Sassuolo,19,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
496,497,Antonio Sanabria,py PAR,FW,Torino,25,1996,20.0,482,461,20,1,1,6,3,1,0,0,0,0,348,1,14,Matches
497,498,Alexis Sánchez,cl CHI,FW,Inter,32,1988,9.8,456,420,33,10,5,8,35,0,19,8,5,0,348,3,9,Matches
498,499,Alex Sandro,br BRA,DF,Juventus,30,1991,19.8,1096,960,132,21,0,8,35,109,0,0,0,0,918,4,15,Matches
499,500,Nicola Sansone,it ITA,"FW,MF",Bologna,29,1991,10.0,336,287,49,18,4,1,52,4,25,16,4,0,236,0,10,Matches
500,501,Federico Santander,py PAR,"FW,DF",Bologna,30,1991,0.7,29,27,2,0,0,0,1,0,0,0,0,0,17,0,1,Matches
501,502,Samir Santos,br BRA,DF,Udinese,26,1994,15.8,688,621,66,26,0,4,12,37,0,0,0,0,535,1,11,Matches
502,503,Riccardo Saponara,it ITA,FW,Fiorentina,29,1991,14.3,555,545,8,5,0,13,28,2,1,0,0,0,427,2,19,Matches
503,504,Giacomo Satalino,it ITA,GK,Sassuolo,22,1999,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
