,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
106,107,Brenner,br BRA,FW,FC Cincinnati,22,2000,22.8,537,656,81.9,8351,1747,285,328,86.9,166,193,86.0,50,66,75.8,6,3.0,2.6,+3.0,26,41,27,1,51,Matches
107,108,Sebastian Breza,ca CAN,GK,CF Montréal,23,1998,23.0,491,614,80.0,10843,8064,175,176,99.4,182,196,92.9,118,225,52.4,0,0.0,0.0,0.0,0,2,0,0,2,Matches
108,109,Emiliano Brienza,ca CAN,FW,Vancouver,19,2002,0.0,5,6,83.3,91,12,0,1,0.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
109,110,Andrew Brody,us USA,DF,Real Salt Lake,26,1995,32.8,1261,1606,78.5,21114,8272,577,648,89.0,553,683,81.0,102,181,56.4,4,3.2,2.8,+0.8,35,145,32,11,157,Matches
110,111,Brandt Bronico,us USA,MF,Charlotte,26,1995,31.2,1356,1601,84.7,24837,6085,542,622,87.1,646,718,90.0,141,195,72.3,1,0.6,0.9,+0.4,14,129,10,2,92,Matches
111,112,Javain Brown,jm JAM,DF,Vancouver,22,1999,20.6,807,1061,76.1,14726,5762,331,380,87.1,391,482,81.1,79,162,48.8,0,1.2,1.7,-1.2,16,56,17,10,66,Matches
112,113,Gastón Brugman,uy URU,MF,LA Galaxy,29,1992,12.5,851,971,87.6,14989,4991,374,417,89.7,370,405,91.4,90,114,78.9,1,1.6,2.2,-0.6,17,76,15,0,87,Matches
113,114,Will Bruin,us USA,FW,Seattle,32,1989,9.6,160,208,76.9,2015,330,106,126,84.1,35,46,76.1,5,7,71.4,0,0.4,0.6,-0.4,6,9,4,0,10,Matches
114,115,Noel Buck,us USA,"MF,FW",New England,16,2005,3.2,69,94,73.4,955,279,43,52,82.7,23,32,71.9,2,3,66.7,0,0.8,0.2,-0.8,2,7,3,0,6,Matches
115,116,Adam Buksa,pl POL,FW,New England,25,1996,9.1,119,168,70.8,1726,319,68,88,77.3,37,50,74.0,8,9,88.9,2,0.9,0.3,+1.1,4,17,1,0,9,Matches
116,117,Teal Bunbury,us USA,"FW,MF",Nashville,31,1990,7.3,122,174,70.1,1727,253,73,99,73.7,38,51,74.5,5,9,55.6,0,0.7,0.3,-0.7,10,8,1,0,5,Matches
117,118,Cory Burke,jm JAM,FW,Philadelphia,30,1991,13.3,145,263,55.1,2385,789,71,121,58.7,55,89,61.8,14,21,66.7,4,3.3,2.1,+0.7,17,12,8,2,22,Matches
118,119,Kendall Burks,us USA,DF,Chicago Fire,22,1999,2.0,71,87,81.6,1445,588,22,25,88.0,39,44,88.6,9,12,75.0,0,0.0,0.0,0.0,0,7,1,0,4,Matches
119,120,Handwalla Bwana,so SOM,FW,Nashville,24,1997,0.1,7,9,77.8,81,25,5,6,83.3,2,2,100.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1,Matches
120,121,Brandon Bye,us USA,DF,New England,26,1995,28.5,1162,1567,74.2,19734,6600,550,646,85.1,489,630,77.6,97,174,55.7,7,5.1,5.1,+1.9,48,57,43,26,77,Matches
121,122,Nathan Byrne,eng ENG,DF,Charlotte,29,1992,3.2,151,187,80.7,2539,887,77,84,91.7,59,68,86.8,13,29,44.8,0,0.0,0.1,0.0,0,21,0,0,6,Matches
122,123,Kevin Cabral,fr FRA,"FW,MF",LA Galaxy,22,1999,18.7,406,533,76.2,5915,1122,237,279,84.9,134,163,82.2,22,36,61.1,3,3.6,2.8,-0.6,25,18,17,4,26,Matches
123,124,Martín Cáceres,uy URU,DF,LA Galaxy,34,1987,4.8,313,325,96.3,5476,1902,138,140,98.6,139,142,97.9,30,36,83.3,1,0.0,0.1,+1.0,1,11,1,1,4,Matches
124,125,Deiber Caicedo,co COL,"FW,MF",Vancouver,21,2000,10.9,234,304,77.0,3929,886,125,137,91.2,75,104,72.1,26,41,63.4,2,1.7,2.2,+0.3,21,11,16,6,17,Matches
125,126,Scott Caldwell,us USA,MF,Real Salt Lake,30,1991,15.1,526,627,83.9,8734,2585,236,269,87.7,233,264,88.3,39,59,66.1,0,0.1,0.4,-0.1,4,67,3,1,47,Matches
126,127,Drake Callender,us USA,GK,Inter Miami,24,1997,24.0,572,800,71.5,15540,11137,96,98,98.0,284,291,97.6,191,406,47.0,0,0.0,0.0,0.0,0,6,0,0,0,Matches
