,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
115,116,Adam Buksa,pl POL,FW,New England,25,1996,9.1,7,34,14,41.2,3.75,1.55,0.21,0.50,10.5,0,0,0,3.7,3.7,0.11,+3.3,+3.3,Matches
116,117,Teal Bunbury,us USA,"FW,MF",Nashville,31,1990,7.3,5,27,12,44.4,3.72,1.65,0.19,0.42,12.4,0,0,0,3.9,3.9,0.15,+1.1,+1.1,Matches
117,118,Cory Burke,jm JAM,FW,Philadelphia,30,1991,13.3,7,43,17,39.5,3.24,1.28,0.16,0.41,13.4,0,0,0,5.9,5.9,0.14,+1.1,+1.1,Matches
118,119,Kendall Burks,us USA,DF,Chicago Fire,22,1999,2.0,0,2,0,0.0,0.99,0.00,0.00,,18.0,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
119,120,Handwalla Bwana,so SOM,FW,Nashville,24,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,121,Brandon Bye,us USA,DF,New England,26,1995,28.5,2,34,9,26.5,1.19,0.32,0.06,0.22,14.6,0,0,0,3.0,3.0,0.09,-1.0,-1.0,Matches
121,122,Nathan Byrne,eng ENG,DF,Charlotte,29,1992,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,123,Kevin Cabral,fr FRA,"FW,MF",LA Galaxy,22,1999,18.7,1,35,11,31.4,1.88,0.59,0.03,0.09,13.4,0,0,0,5.3,5.3,0.15,-4.3,-4.3,Matches
123,124,Martín Cáceres,uy URU,DF,LA Galaxy,34,1987,4.8,0,2,0,0.0,0.42,0.00,0.00,,10.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
124,125,Deiber Caicedo,co COL,"FW,MF",Vancouver,21,2000,10.9,1,19,4,21.1,1.74,0.37,0.05,0.25,18.7,1,0,0,1.6,1.6,0.08,-0.6,-0.6,Matches
125,126,Scott Caldwell,us USA,MF,Real Salt Lake,30,1991,15.1,0,3,0,0.0,0.20,0.00,0.00,,20.4,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
126,127,Drake Callender,us USA,GK,Inter Miami,24,1997,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
