,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
85,86,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1,90,90,2.9,1.0,1,90,1,0,,2,3.00,2,1,+1,+1.00,+0.03,1.4,1.1,+0.3,+0.31,-0.20,Matches
86,87,Jakob Busk,dk DEN,GK,Union Berlin,27,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
87,88,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,16,2004,4,134,34,4.4,1.5,1,62,0,3,24,1,1.50,5,3,+2,+1.34,+0.39,4.7,1.7,+3.0,+2.03,+1.59,Matches
88,89,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,33,1988,28,2004,72,65.5,22.3,24,80,8,4,20,4,1.21,26,38,-12,-0.54,-0.11,27.3,41.4,-14.1,-0.63,+0.20,Matches
89,90,Emre Can,de GER,"DF,MF",Dortmund,27,1994,24,1690,70,55.2,18.8,19,84,14,5,19,0,2.13,45,22,+23,+1.22,+0.57,36.9,24.7,+12.3,+0.65,+0.33,Matches
90,91,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28,2520,90,82.4,28.0,28,90,28,0,,0,1.39,39,40,-1,-0.04,+1.63,42.5,42.8,-0.2,-0.01,+0.18,Matches
91,92,Gonzalo Castro,de GER,"MF,FW",Arminia,34,1987,12,436,36,14.2,4.8,4,78,1,8,15,3,0.83,3,9,-6,-1.24,-0.55,3.0,9.8,-6.8,-1.40,-0.33,Matches
92,93,Julian Chabot,de GER,DF,Köln,23,1998,4,209,52,6.8,2.3,2,89,1,2,16,9,1.50,3,3,0,0.00,-0.09,3.5,3.9,-0.5,-0.21,-0.22,Matches
93,94,Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,17,1212,71,39.6,13.5,15,80,8,2,5,14,1.41,18,21,-3,-0.22,-0.17,18.3,20.6,-2.2,-0.17,-0.07,Matches
94,95,Justin Che,us USA,"FW,DF",Hoffenheim,17,2003,2,41,21,1.3,0.5,0,,0,2,21,9,0.00,0,1,-1,-2.20,-2.17,0.8,0.3,+0.4,+0.92,+0.79,Matches
95,96,Vladislav Cherny,de GER,MF,Arminia,18,2003,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
96,97,Raman Chibsah,gh GHA,MF,Bochum,28,1993,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
97,98,Oliver Christensen,dk DEN,GK,Hertha BSC,22,1999,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches
98,99,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,27,2054,76,67.1,22.8,22,86,17,5,33,3,0.59,21,56,-35,-1.53,+0.17,22.8,48.0,-25.2,-1.10,-0.34,Matches
99,100,Darko Churlinov,mk MKD,"FW,MF",Stuttgart,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
100,101,Tim Civeja,de GER,MF,Augsburg,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
