,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
55,56,Kike Barja,es ESP,"MF,FW",Osasuna,24,1997,9.6,374,355,16,3,1,4,55,11,2,0,0,0,249,3,14,Matches
56,57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,542,421,121,36,0,6,33,81,4,1,2,0,423,0,5,Matches
57,58,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19,2001,6.1,184,184,0,0,1,1,8,0,0,0,0,0,129,0,11,Matches
58,59,Marc Bartra,es ESP,DF,Betis,30,1991,22.1,1131,1089,34,32,2,23,0,2,0,0,0,0,926,8,5,Matches
59,60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,53,52,1,0,0,0,0,0,0,0,0,0,41,0,2,Matches
60,61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,515,483,29,27,0,3,1,1,0,0,0,0,427,3,9,Matches
61,62,Jon Bautista,es ESP,MF,Real Sociedad,26,1995,0.5,7,5,2,0,0,0,0,0,0,0,0,0,6,0,0,Matches
62,63,Bebé,cv CPV,FW,Rayo Vallecano,31,1990,9.6,332,289,42,17,2,5,87,4,20,11,7,0,208,1,14,Matches
63,64,Héctor Bellerín,es ESP,DF,Betis,26,1995,22.0,1048,845,200,18,1,4,42,182,0,0,0,0,804,3,27,Matches
64,65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,1893,1821,70,54,1,31,17,2,6,0,4,0,1716,2,16,Matches
65,66,Darío Benedetto,ar ARG,"FW,MF",Elche,31,1990,6.6,112,102,9,0,0,4,6,1,0,0,0,0,72,1,2,Matches
66,67,Iker Benito,es ESP,"FW,MF",Osasuna,18,2002,1.3,29,27,0,0,0,0,4,0,0,0,0,0,19,2,1,Matches
67,68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
68,69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,1245,1175,57,4,6,10,10,2,8,0,0,0,1043,13,30,Matches
69,70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,634,509,120,17,0,8,33,103,0,0,0,0,487,5,12,Matches
70,71,Álex Berenguer,es ESP,MF,Athletic Club,26,1995,24.1,877,760,108,26,7,6,145,6,73,20,29,0,548,9,41,Matches
71,72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,933,888,40,39,1,10,2,1,0,0,0,0,806,5,3,Matches
72,73,Blanco,es ESP,MF,Real Madrid,21,2000,0.3,20,20,0,0,0,0,0,0,0,0,0,0,18,0,0,Matches
73,74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31.0,1072,772,298,57,0,2,0,0,0,0,0,0,819,2,1,Matches
74,75,Lucas Boyé,ar ARG,FW,Elche,25,1996,19.0,426,388,34,0,1,5,7,1,0,0,0,0,306,4,15,Matches
75,76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,2.6,56,54,2,1,0,1,2,0,0,0,0,0,44,0,1,Matches
76,77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,26.7,910,860,45,1,1,2,27,5,0,0,0,0,676,5,35,Matches
77,78,Claudio Bravo,cl CHI,GK,Betis,38,1983,16.2,507,330,174,75,0,5,0,0,0,0,0,0,332,3,0,Matches
78,79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,3.8,127,127,0,0,0,2,0,0,0,0,0,0,95,0,2,Matches
79,80,Bryan,es ESP,"MF,FW",Valencia,20,2001,8.4,244,212,30,7,3,1,44,7,16,9,4,0,156,2,2,Matches
80,81,Ante Budimir,hr CRO,FW,Osasuna,30,1991,19.3,358,335,18,0,2,1,7,3,0,0,0,0,204,5,10,Matches
81,82,Sergio Busquets,es ESP,MF,Barcelona,33,1988,35.5,2793,2676,99,95,13,18,3,3,0,0,0,0,2430,18,21,Matches
82,83,Adrián Butzke,es ESP,FW,Granada,22,1999,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
83,84,Erick Cabaco,uy URU,DF,Getafe,26,1995,4.5,173,165,8,5,0,2,1,3,0,0,0,0,115,0,2,Matches
84,85,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37.0,1934,1715,204,106,2,32,13,77,0,0,0,0,1458,15,16,Matches
85,86,Martín Cáceres,uy URU,DF,Levante,34,1987,7.4,353,339,14,9,0,14,4,5,0,0,0,0,287,0,6,Matches
86,87,Cala,es ESP,DF,Cádiz,31,1989,10.5,295,275,17,16,0,13,0,1,0,0,0,0,216,3,1,Matches
87,88,Calderón,es ESP,DF,Betis,21,2000,0.7,45,42,3,0,0,0,4,3,0,0,0,0,41,0,0,Matches
88,89,Fernando Calero,es ESP,DF,Espanyol,25,1995,12.1,633,587,45,33,0,5,0,12,0,0,0,0,528,1,5,Matches
89,90,Víctor Camarasa,es ESP,"MF,FW",Betis,27,1994,1.2,50,50,0,0,0,0,0,0,0,0,0,0,41,0,1,Matches
90,91,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,13.7,847,829,17,15,6,6,3,1,0,0,0,0,760,1,10,Matches
91,92,José Campaña,es ESP,MF,Levante,28,1993,15.8,880,791,87,48,3,17,56,4,35,13,14,1,715,2,16,Matches
92,93,Sergio Canales,es ESP,"FW,MF",Betis,30,1991,31.0,1878,1798,73,48,22,30,67,16,9,4,4,0,1551,7,38,Matches
93,94,Álex Cantero,es ESP,"FW,MF",Levante,21,2000,6.8,131,122,8,0,1,3,6,4,0,0,0,0,89,1,6,Matches
94,95,Ander Capa,es ESP,DF,Athletic Club,29,1992,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
95,96,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,25.4,1330,1287,37,33,7,12,5,4,0,0,0,0,1167,6,12,Matches
96,97,Isaac Carcelen,es ESP,"DF,MF",Cádiz,28,1993,17.2,735,585,149,19,2,6,49,125,5,1,4,0,540,1,19,Matches
97,98,Cárdenas,es ESP,GK,Levante,24,1997,24.0,725,454,269,70,0,3,0,1,0,0,0,0,496,2,0,Matches
98,99,Carlo,es ESP,MF,Villarreal,20,2001,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
99,100,Diego Carlos,br BRA,DF,Sevilla,28,1993,32.9,2195,2131,57,53,3,38,3,4,0,0,0,0,1916,7,7,Matches
