,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
141,142,Jonson Clarke-Harris,jm JAM,FW,P'borough Utd,27,1994,33.3,2,0,0,68,70,13,6,5,8,1,0,0,74,206,229,47.4,Matches
142,143,Jake Clarke-Salter,eng ENG,DF,Coventry City,23,1997,25.5,6,0,0,32,16,0,12,34,45,0,1,0,149,103,67,60.6,Matches
143,144,Leighton Clarkson,eng ENG,MF,Blackburn,19,2001,3.6,1,0,0,2,2,0,17,2,4,0,0,0,14,3,4,42.9,Matches
144,145,Sam Clucas,eng ENG,MF,Stoke City,30,1990,16.4,6,0,0,15,8,3,56,15,22,0,0,0,85,26,14,65.0,Matches
145,146,Josh Coburn,eng ENG,FW,Middlesbrough,18,2002,5.3,2,0,0,10,8,3,3,1,1,0,0,0,10,20,48,29.4,Matches
146,147,Jack Colback,eng ENG,"DF,MF",Nott'ham Forest,31,1989,34.5,12,1,1,51,64,1,45,43,52,0,2,0,195,29,22,56.9,Matches
147,148,Devante Cole,eng ENG,"FW,MF",Barnsley,26,1995,9.8,0,0,0,18,12,4,16,4,11,0,0,0,36,29,59,33.0,Matches
148,149,Maxime Colin,fr FRA,"DF,MF",Birmingham City,29,1991,30.8,2,0,0,30,14,1,57,40,48,0,0,0,193,47,50,48.5,Matches
149,150,Bradley Collins,eng ENG,GK,Barnsley,24,1997,39.3,4,0,0,2,7,0,0,1,1,0,2,0,71,14,2,87.5,Matches
150,151,James Collins,ie IRL,"FW,MF",Cardiff City,30,1990,14.3,5,0,0,40,26,12,12,4,10,0,0,0,44,52,89,36.9,Matches
151,152,Levi Colwill,eng ENG,DF,Huddersfield,18,2003,26.9,5,0,0,19,14,0,9,37,34,0,0,0,193,87,49,64.0,Matches
152,153,Rubin Colwill,wls WAL,"MF,FW",Cardiff City,19,2002,18.5,1,0,0,17,12,2,37,4,14,0,0,0,97,19,51,27.1,Matches
153,154,Cameron Congreve,wls WAL,FW,Swansea City,17,2004,1.4,0,0,0,0,2,0,3,0,2,0,0,0,5,1,0,100.0,Matches
154,155,Aaron Connolly,ie IRL,FW,Middlesbrough,21,2000,13.1,2,0,0,17,33,7,1,2,0,0,0,0,39,9,61,12.9,Matches
155,156,Callum Connolly,eng ENG,"DF,MF",Blackpool,23,1997,24.6,10,1,0,40,24,1,45,25,24,0,0,0,123,71,51,58.2,Matches
156,157,Tommy Conway,,"MF,DF",Bristol City,,,0.3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0.0,Matches
157,158,Lewis Cook,eng ENG,MF,Bournemouth,24,1997,24.1,5,0,0,23,29,0,16,33,22,0,0,0,180,18,23,43.9,Matches
158,159,Steve Cook,eng ENG,DF,Bournemouth,30,1991,2.7,1,0,0,2,2,0,0,5,1,0,0,0,13,7,5,58.3,Matches
159,160,Steve Cook,eng ENG,DF,Nott'ham Forest,30,1991,12.9,0,0,0,9,6,0,2,22,6,0,1,0,88,47,20,70.1,Matches
160,161,Brandon Cooper,wls WAL,DF,Swansea City,21,2000,3.9,0,0,0,4,10,0,0,1,0,0,0,0,25,10,8,55.6,Matches
161,162,Jake Cooper,eng ENG,DF,Millwall,26,1995,40.9,10,0,0,63,20,2,4,58,27,1,0,2,193,230,83,73.5,Matches
162,163,Kai Corbett,eng ENG,FW,P'borough Utd,18,2002,0.6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0.0,Matches
163,164,David Cornell,wls WAL,GK,P'borough Utd,30,1991,30.0,2,0,0,0,5,0,0,0,1,0,0,0,13,6,1,85.7,Matches
164,165,Harry Cornick,eng ENG,FW,Luton Town,26,1995,26.2,4,0,0,27,17,22,71,11,13,1,0,0,97,34,92,27.0,Matches
165,166,Hayden Coulson,eng ENG,DF,P'borough Utd,23,1998,4.0,3,1,1,8,6,0,30,3,4,0,0,0,25,5,5,50.0,Matches
166,167,Conor Coventry,ie IRL,MF,P'borough Utd,21,2000,4.8,1,0,0,15,1,0,4,10,7,0,0,0,37,5,4,55.6,Matches
167,168,Lewie Coyle,eng ENG,DF,Hull City,25,1995,19.5,2,1,1,10,48,1,66,23,23,0,0,0,116,24,28,46.2,Matches
168,169,Matt Crooks,eng ENG,MF,Middlesbrough,27,1994,38.7,15,1,0,70,30,9,27,36,52,0,0,0,180,146,113,56.4,Matches
169,170,Liam Cullen,wls WAL,"MF,FW",Swansea City,22,1999,4.8,0,0,0,8,3,1,2,2,4,0,0,0,16,7,19,26.9,Matches
170,171,Robbie Cundy,eng ENG,DF,Bristol City,24,1997,10.0,1,0,0,8,12,0,0,18,6,0,0,0,51,30,11,73.2,Matches
171,172,Greg Cunningham,ie IRL,"DF,FW",Preston,30,1991,15.1,4,0,0,24,23,0,33,17,17,0,0,0,81,26,33,44.1,Matches
172,173,Fankaty Dabo,eng ENG,DF,Coventry City,25,1995,25.5,4,2,0,28,31,1,108,22,45,0,2,0,182,12,27,30.8,Matches
173,174,Bradley Dack,eng ENG,"MF,FW",Blackburn,27,1993,3.2,0,0,0,2,1,4,1,1,1,0,0,0,7,2,4,33.3,Matches
174,175,Julien Dacosta,fr FRA,DF,Coventry City,25,1996,1.2,0,0,0,1,2,0,7,3,3,0,0,0,3,3,4,42.9,Matches
175,176,Owen Dale,eng ENG,"MF,FW",Blackpool,22,1998,7.8,0,0,0,5,14,0,16,7,7,0,0,0,34,10,16,38.5,Matches
176,177,Jake Daniels,eng ENG,FW,Blackpool,16,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
