,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
144,145,Emerson,br BRA,"DF,MF",Tottenham,22,1999,25.4,1739,98,575,659,520,56,1739,17,34,50.0,27,18,1014,91,Matches
145,146,Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,737,18,137,373,236,12,737,8,16,50.0,18,9,475,17,Matches
146,147,Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,204,15,65,130,12,0,204,6,10,60.0,3,2,122,1,Matches
147,148,Jonny Evans,nir NIR,DF,Leicester City,33,1988,15.0,1145,154,632,483,37,11,1145,2,3,66.7,4,0,747,1,Matches
148,149,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,23,1998,6.7,374,4,48,189,142,10,374,14,23,60.9,20,10,259,29,Matches
149,150,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37.0,1086,980,1083,3,0,0,1086,0,0,,0,1,414,0,Matches
150,151,Fabinho,br BRA,MF,Liverpool,27,1993,25.7,1782,41,340,1174,279,20,1780,11,15,73.3,24,13,1229,27,Matches
151,152,Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,1410,103,452,562,413,11,1410,7,14,50.0,41,7,669,22,Matches
152,153,Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,7,0,0,2,5,1,7,0,0,,1,0,7,1,Matches
153,154,Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,5,0,4,1,0,0,5,0,0,,0,0,1,0,Matches
154,155,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,2425,64,359,1127,959,98,2423,26,52,50.0,46,40,1785,159,Matches
155,156,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12.0,548,424,542,6,0,0,548,0,0,,1,0,278,0,Matches
156,157,Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,264,53,157,100,10,7,264,0,0,,1,0,169,1,Matches
157,158,Fernandinho,br BRA,"MF,DF",Manchester City,36,1985,10.7,927,35,172,622,137,17,927,9,11,81.8,6,7,742,9,Matches
158,159,Roberto Firmino,br BRA,FW,Liverpool,29,1991,11.0,664,4,50,303,320,67,664,17,33,51.5,33,25,501,108,Matches
159,160,Junior Firpo,es ESP,"DF,MF",Leeds United,24,1996,19.0,1141,61,345,556,254,37,1141,16,28,57.1,17,7,666,45,Matches
160,161,Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,14,1,2,5,7,2,14,0,0,,1,1,10,0,Matches
161,162,Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,1282,6,65,423,803,134,1282,37,58,63.8,48,34,1015,165,Matches
162,163,Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7.0,591,55,302,275,19,5,591,3,3,100.0,5,2,436,1,Matches
163,164,Pablo Fornals,es ESP,"FW,MF",West Ham,25,1996,31.1,1721,33,258,821,658,65,1721,23,54,42.6,47,28,1179,120,Matches
164,165,Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17.0,994,26,265,578,166,9,994,12,19,63.2,24,11,627,22,Matches
165,166,Marcus Forss,fi FIN,"FW,MF",Brentford,22,1999,2.3,68,0,2,38,28,6,68,1,4,25.0,9,1,36,13,Matches
166,167,Fraser Forster,eng ENG,GK,Southampton,33,1988,19.0,673,513,669,4,0,0,673,0,0,,0,0,259,0,Matches
167,168,Ben Foster,eng ENG,GK,Watford,38,1983,26.0,946,723,931,16,0,0,946,1,1,100.0,0,0,336,0,Matches
168,169,Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,10,0,0,3,7,3,10,0,0,,0,0,8,2,Matches
169,170,Ryan Fraser,sct SCO,"FW,MF",Newcastle Utd,27,1994,16.3,587,22,104,191,297,41,587,1,4,25.0,22,11,405,53,Matches
170,171,Fred,br BRA,MF,Manchester Utd,28,1993,22.5,1612,65,393,956,273,17,1612,21,36,58.3,41,25,1090,37,Matches
171,172,Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,170,14,50,77,44,2,170,0,1,0.0,2,1,99,6,Matches
172,173,Leo Fuhr Hjelde,no NOR,"MF,DF",Leeds United,17,2003,1.7,128,10,56,58,16,1,128,0,0,,2,0,62,1,Matches
173,174,Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,1570,45,285,734,572,78,1570,43,76,56.6,62,50,923,101,Matches
174,175,Alejandro Garnacho,es ESP,"FW,MF",Manchester Utd,17,2004,0.1,3,0,0,2,1,0,3,0,0,,0,0,3,0,Matches
175,176,Dwight Gayle,eng ENG,"FW,DF",Newcastle Utd,30,1990,0.4,22,0,0,10,12,3,22,0,0,,1,0,17,2,Matches
176,177,Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,29,1,6,22,1,0,29,2,3,66.7,2,2,20,0,Matches
177,178,David de Gea,es ESP,GK,Manchester Utd,30,1990,38.0,1019,927,1018,1,0,0,1019,0,0,,0,0,370,0,Matches
178,179,Joe Gelhardt,eng ENG,"FW,MF",Leeds United,19,2002,8.3,269,5,17,121,133,44,269,17,29,58.6,30,19,195,54,Matches
