,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
107,108,Nathan Byrne,eng ENG,DF,Derby County,29,1992,40.7,1588,2195,72.3,25641,9067,842,949,88.7,577,787,73.3,125,343,36.4,2,1.8,2.4,+0.2,21,134,28,9,98,Matches
108,109,Benjamin Cabango,wls WAL,DF,Swansea City,21,2000,34.1,2113,2472,85.5,35098,12466,999,1089,91.7,921,1024,89.9,141,262,53.8,1,1.6,1.6,-0.6,17,158,18,2,112,Matches
109,110,Rafael Cabral,br BRA,GK,Reading,31,1990,6.0,141,218,64.7,3945,2637,25,25,100.0,65,65,100.0,51,128,39.8,0,0.0,0.0,0.0,0,3,0,0,0,Matches
110,111,Cafú,pt POR,MF,Nott'ham Forest,28,1993,4.0,178,201,88.6,2855,612,91,94,96.8,70,77,90.9,11,18,61.1,1,0.3,0.2,+0.7,4,17,1,0,9,Matches
111,112,Gary Cahill,eng ENG,DF,Bournemouth,35,1985,21.5,1086,1260,86.2,21697,7970,317,356,89.0,647,702,92.2,113,173,65.3,1,0.5,0.4,+0.5,3,44,2,0,50,Matches
112,113,Tom Cairney,sct SCO,MF,Fulham,30,1991,17.2,1083,1204,90.0,17043,3727,586,613,95.6,382,410,93.2,83,123,67.5,4,3.0,3.1,+1.0,35,77,41,4,87,Matches
113,114,Mamadi Camará,gw GNB,"FW,MF",Reading,17,2003,1.7,51,68,75.0,640,188,34,40,85.0,10,17,58.8,3,5,60.0,0,0.2,0.0,-0.2,2,0,1,0,3,Matches
114,115,Allan Campbell,sct SCO,MF,Luton Town,23,1998,28.7,473,686,69.0,6861,2036,257,339,75.8,160,214,74.8,26,63,41.3,2,1.6,1.0,+0.4,16,56,11,2,47,Matches
115,116,Fraizer Campbell,eng ENG,FW,Huddersfield,33,1987,6.8,77,120,64.2,1101,236,50,70,71.4,22,28,78.6,4,7,57.1,0,0.4,0.2,-0.4,5,9,1,0,7,Matches
116,117,Tyrese Campbell,eng ENG,FW,Stoke City,21,1999,11.7,206,302,68.2,3058,481,121,139,87.1,63,93,67.7,13,20,65.0,1,1.4,1.1,-0.4,16,6,16,7,15,Matches
117,118,Andy Cannon,eng ENG,MF,Hull City,25,1996,4.9,198,247,80.2,3027,700,107,125,85.6,70,83,84.3,14,28,50.0,0,0.1,0.3,-0.1,2,25,5,1,14,Matches
118,119,Todd Cantwell,eng ENG,MF,Bournemouth,23,1998,7.1,274,370,74.1,4450,1060,142,165,86.1,80,101,79.2,33,74,44.6,0,1.4,1.2,-1.4,15,17,10,2,18,Matches
119,120,Sonny Carey,eng ENG,"MF,FW",Blackpool,20,2001,5.5,155,208,74.5,2419,345,84,95,88.4,52,63,82.5,13,37,35.1,0,0.9,0.5,-0.9,7,11,2,0,7,Matches
120,121,Ian Carlo Poveda,eng ENG,"FW,MF",Blackburn,21,2000,4.2,97,128,75.8,1260,337,59,71,83.1,26,34,76.5,3,8,37.5,2,1.4,1.0,+0.6,5,8,6,1,11,Matches
121,122,Andy Carroll,eng ENG,FW,West Brom,32,1989,11.5,173,322,53.7,2496,390,106,170,62.4,46,96,47.9,13,26,50.0,0,1.0,0.5,-1.0,10,13,1,0,14,Matches
122,123,Andy Carroll,eng ENG,FW,Reading,32,1989,6.6,77,150,51.3,1188,205,45,66,68.2,21,46,45.7,6,14,42.9,1,0.1,0.2,+0.9,2,8,4,0,10,Matches
123,124,Hayden Carter,eng ENG,DF,Blackburn,21,1999,6.5,119,210,56.7,2046,728,54,74,73.0,55,81,67.9,8,49,16.3,0,0.1,0.2,-0.1,2,8,2,1,9,Matches
124,125,Harvey Cartwright,eng ENG,GK,Hull City,19,2002,1.3,16,42,38.1,456,366,4,4,100.0,6,6,100.0,6,32,18.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
125,126,Fabio Carvalho,pt POR,MF,Fulham,18,2002,31.5,831,1019,81.6,11229,2456,496,568,87.3,264,316,83.5,26,38,68.4,7,9.6,5.5,-2.6,59,71,36,1,76,Matches
